ac_id	predicate	status	evidence	observed_value
AC22A	PRISTINE_BASELINE_REVERIFY=PASS	N/A	(active branch = B)	not applicable
AC23A	ORIGINAL_AC39_LITERAL_PASS=YES	N/A	(active branch = B)	not applicable
AC24A	NEW_LEXER07_FAILURES=0	N/A	(active branch = B)	not applicable
AC25A	DIVERGED=0	N/A	(active branch = B)	not applicable
AC26A	REGRESSION=0	N/A	(active branch = B)	not applicable
AC27A	PASS_MISMATCH=0	N/A	(active branch = B)	not applicable
AC19B	HISTORICAL_BASELINE_RECONSTRUCTIBLE=NO	PASS	c1-reconstructibility-decision.txt	NO (mechanically unrecoverable)
AC20B	HISTORICAL_AC39=UNPROVABLE	PASS	c3-historical-ac39-disposition.txt	UNPROVABLE (frozen for life)
AC21B	HISTORICAL_FALSE_GREEN_PRESERVED=YES	PASS	c3-historical-ac39-disposition.txt	predecessor verdict preserved, re-classified as FALSE_GREEN under Branch B
AC22B	PROSPECTIVE_BASELINE_RUN_A_COMPLETE=YES	PASS	c3-baseline-determinism.txt	RUN_A complete
AC23B	PROSPECTIVE_BASELINE_RUN_B_COMPLETE=YES	PASS	c3-baseline-determinism.txt	RUN_B complete
AC24B	PROSPECTIVE_BASELINE_DETERMINISTIC=YES	PASS	c3-baseline-determinism.txt	A==B==C byte-equal
AC25B	KNOWN_FAILURE_SET_STABLE=YES	PASS	c3-baseline-determinism.txt	21 fixture rows stable across A/B/C
AC26B	UNRESOLVED_POSSIBLE_COMPILER_REGRESSIONS=0	PASS	c2-prospective-baseline-failures.tsv	UNRESOLVED_COUNT=0
AC27B	PROSPECTIVE_BASELINE_SHA256_RECORDED=YES	PASS	c3-baseline-determinism.txt	00c54408bf29237cf526aeed097f6b097f22ae682683675a0bf5ab9f9c202b9a
AC28B	BASELINE_VERIFIER_NEGATIVE_CONTROL=PASS	PASS	c3-baseline-verifier-negative-control.txt	NC1 mutation detected, NC2 omission detected, NC3 stale C3 rejected, NC4 pristine re-verify pass
AC29B	PROSPECTIVE_BASELINE_REVERIFY=PASS	PASS	c3-prospective-baseline-reverify.txt	RUN_C matches frozen prospective baseline
AC30	NEW_PYTHON_SOURCES=0	PASS	git diff 1274f36..HEAD --name-only | grep '.py$'	0 hits
AC31	NEW_PYTHON_INVOCATIONS=0	PASS	git diff 1274f36..HEAD | grep 'python'	0 new invocations
AC32	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	PASS	c3-factory-gates.txt	only PolyC tool added (lexer07-baseline-authority-verify.HC); no C, no Python, no substantive shell
AC33	NEW_SHELL_DISPATCH_MAX_LOC<=50	PASS	c3-factory-gates.txt	0 new shell scripts (no dispatcher needed; tool invoked directly)
AC34	PATCH_HYGIENE_ERRORS=0	PASS	c3-patch-hygiene.txt	git diff --check empty
AC35	GATE_FAST=PASS	PASS	c3-factory-gates.txt	gate-fast full output recorded
AC36	APPEND_ONLY_FAIL=0	PASS	c3-factory-gates.txt	factory-append-only-test STATUS=PASS, FAIL=0
AC37	F14=PASS	PASS	c3-f14.txt	predecessor evidence + HANDOFF blob hashes unchanged
AC38	EXACT_COMMIT_COUNT_AT_CLOSE=5	DEFERRED_TO_C4	c3-required-result.txt	must be verified at C4 from actual git rev-list count
AC39	WORKTREE_CLEAN_AT_CLOSE=YES	DEFERRED_TO_C4	c3-required-result.txt	must be verified at C4 from post-C4 git status
AC40	POST_C4_COMMIT_COUNT=0	DEFERRED_TO_C4	c3-required-result.txt	must be verified at C4 from post-C4 commit count
