surface_id	region	description	primary_source	entry_symbol	classification	production_reachable	semantic_authority	polyC_component	bridge_symbol	legacy_duplicate	current_test_surface	current_proof_surface	blocks_next_selfhost_stage	atomic_slice_available	estimated_source_span	dependency_count	coupling_count	existing_oracle	existing_fixture_set	known_residue	notes
INV.PARSER.EXPR	parser	Expression parsing family (Pratt + binop + postfix + unary + subscript + sizeof + const-eval)	src/prslib.c + src/prsutil.c	parseExpr + parsePrimary + parsePostFixExpr + parseUnaryExpr + parseSubscriptExpr + parseGetClassField + parseIdentifierOrFunction + parseCompoundAssign + parseFunctionArguments + parseArgv + parseInlineFunctionCall + parseCreateBinaryOp + parseSizeof + parseAlignof + parseTypeof + parseFloatingCharConst + parseAssignAuto + parseReturnAuto + parsePointerType + parseGetPriority + parseArrayDimensions + parseArrayDimensionsInternal + astBinOpToTokenPunct + parseIsFunctionCall + parseIsKeyword + parseGetType + astIsArithmetic + astCanEval + evalFloatExpr* + evalIntConstExpr* + evalOneIntExprOrErr + assertIsFloat + assertIsInt + assertIsFloatOrInt + assertIsPointer + assertLValue + evalClassRef + typeCheckWarn + typeCheckReturnTypeWarn + assertionTerminatorMessage + assertTokenIsTerminator* + assertUniqueSwitchCaseLabels + align	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (UNLOCKS_MULTIPLE_FOLLOWING_SURFACES — every expression in every statement routes through Pratt parseExpr)	NO (the const-eval family is internally tight; the parsing family is split across two files with shared Map + Lexeme + Ast handles; no single bounded slice exists at the parsing layer; the const-eval family has small atomic slices (e.g. evalIntConstExpr is a single function) but is not a migration target because const-eval is internal to the parser)	~2300 lines	35+	Cctrl + Ast + AstType + Map + List + Vec + Lexeme + token loop	none	N/A	N/A	large region; not atomic at parsing layer	gated behind parser/compound or parser/decl migration
INV.LSP	server	LSP language server (semantic completion + occurrence tracking)	src/lsp.c	lspRun + lspScanMapForSuggestion + lspOccurrenceRelease	LEGACY_NON_POLYC_AUTHORITY	YES	NO	NONE	N/A	N/A	N/A	N/A	NO (does not block compiler self-host progression; LSP is a separate tool)	NO (not production compiler semantic authority)	~500 lines (lsp.c)	3	cc + token stream	N/A	N/A	not a compiler surface	excluded from candidates
INV.TRANSPILE	transpiler	PolyC -> C transpiler (emit C source from AST)	src/transpiler.c	transpileAstInternal + transpileInitMaps + transpileBinaryOp + transpileUnary + ~10 transpile* helpers	LEGACY_NON_POLYC_AUTHORITY	YES	NO	NONE	N/A	N/A	N/A	N/A	NO (does not block compiler self-host progression; transpiler is a backend target, not a self-host migration target)	NO (not production compiler semantic authority)	~1000 lines (transpiler.c)	4	Ast + AstType + AoStr + Map	N/A	N/A	transpiler-only	excluded from candidates
INV.MAIN.DRIVER	driver	Compiler entry point + CLI parsing + lib handling + asm invocation + system() calls	src/main.c + src/cli.c	main + cliArgsInit + cliParseArgs + hccLibInit + writeAsmToTmp + emitFile + assemble + safeSystem	LEGACY_C_AUTHORITY	YES	NO (orchestration)	NONE	N/A	N/A	N/A	N/A	NO (does not block compiler self-host progression; driver is a CLI harness, not a compiler semantic authority)	NO (not a compiler semantic authority)	~600 lines (main.c) + ~700 lines (cli.c)	5	cli_args + file I/O + system()	N/A	N/A	CLI/orchestration; not a compiler surface	excluded from candidates
INV.JIT.X86	x86_64/aarch64 JIT runner (REPL only)	src/x86_64-jit.c + src/aarch64-jit.c + src/jit-common.c	x86_64_jit_run + aarch64_jit_run	LEGACY_C_AUTHORITY	YES (REPL only)	NO	NONE	N/A	N/A	N/A	REPL smoke	NO (does not block compiler self-host progression; JIT is REPL-only, not in self-host compile path)	NO (REPL-only path; not in compile pipeline)	~3000 lines (x86_64-jit.c + aarch64-jit.c)	4	codegen + REPL state	N/A	N/A	REPL smoke	excluded from candidates (REPL-only)
INV.MEM.ARENA	memory	Arenas + pools + lifetime tracking + leak/safety diagnostics	src/arena.c + src/mempool.c + src/memory.c + src/memsafe.c	ArenaAllocate + MemoryInit/Release + ArenaRelease + MempoolAllocate	LEGACY_C_AUTHORITY	YES	NO (plumbing)	NONE	N/A	N/A	N/A	N/A	NO (does not block compiler self-host progression; memory allocator is a runtime support surface)	NO (memory allocator; not a compiler semantic authority)	~1500 lines	3	mempool + arena + leak tracker	N/A	N/A	plumbing	excluded from candidates
INV.DIAG.PRINT	diagnostics	Diagnostic emission + severity tracking (overlaps INV.CCTRL.SCOPE)	src/cctrl.c	cctrlInfo + cctrlWarning + cctrlWarningAt + cctrlRaiseException + cctrlRaiseSuggestion + cctrlIce + cctrlDiagPush/Flush/Clear	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (UNLOCKS_MULTIPLE_FOLLOWING_SURFACES — diagnostics are shared across lexer, parser, codegen; migrating diag is valuable)	NO (not bounded; tightly coupled to Cctrl state)	~100 lines (cctrl.c diagnostic functions)	6	Cctrl + token stream + file context	N/A	N/A	coupled to Cctrl state	excluded due to coupling
INV.UTIL.MISC	utility	Misc utility (inline/macro helpers)	src/util.h	macros + small inline helpers	LEGACY_C_AUTHORITY	YES	NO	NONE	N/A	N/A	N/A	N/A	NO (does not block compiler self-host progression; util.h is mostly inline/macro)	NO (util header; not a compiler semantic authority)	~200 lines (util.h)	2	macros	N/A	N/A	utility	excluded from candidates
INV.LIBTOS	library	HolyC runtime library (aostr, list, math, io, hashtable, etc.)	src/holyc-lib/* + src/holyc-lib/libtos.*	runtime functions (aostr, list, math, io, hashtable, etc.)	LEGACY_NON_POLYC_AUTHORITY (mixed POLYC + C)	YES	NO (runtime, not compiler)	N/A	N/A	N/A	N/A	N/A	N/A	N/A (runtime library, not compiler surface)	~8000 lines	8	runtime helpers	N/A	N/A	N/A	runtime library	excluded from candidates
INV.BUILD.ORCH	build-orch	Build orchestration (make targets + dispatch)	Makefile + src/CMakeLists.txt + scripts/quality/*	make targets	BUILD_ORCHESTRATION	YES	NO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	~1500 lines	5	N/A	N/A	N/A	N/A	build orchestration	excluded from candidates
INV.QA.ORCH	quality-tooling	Quality tooling and bootstrap oracles	scripts/quality/* + tools/quality/*.HC + tools/quality/*.c	verification harnesses	QUALITY_TOOLING	YES	NO (tooling, not compiler)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	~5000 lines	6	N/A	N/A	N/A	N/A	quality tooling	excluded from candidates
