token_key	type	producer	consumer	meaning	canonical	legacy_aliases
POST_MIGRATION_PAIR_FAIL	INTEGER	c3-semantic-postmigration.txt	ac-witness-verify	post-migration semantic pair fail count	YES	-
EXPECTED_MIGRATION_FIXTURE_SET	STRING	c1-fixture-id-map.tsv	ac-witness-verify	canonical migration fixture id set	YES	-
OBSERVED_MIGRATION_FIXTURE_SET	STRING	c3-semantic-postmigration.txt	ac-witness-verify	observed migration fixture id set (canonical)	YES	-
UNKNOWN_FIXTURE_ALIAS	INTEGER	c3-fixture-id-map-verify.txt	ac-witness-verify	unknown fixture alias count	YES	-
DUPLICATE_CANONICAL_ID	INTEGER	c3-fixture-id-map-verify.txt	ac-witness-verify	duplicate canonical id count	YES	-
FIXTURE_ALIAS_CONTROL_REJECTED	BOOLEAN	c3-fixture-alias-control.txt	ac-witness-verify	alias control rejected forged alias mapping	YES	-
NON_MIGRATION_G0_DIVERGENCE_COUNT	INTEGER	c3-semantic-g0-delta.txt	ac-witness-verify	non-migration G0 divergence count	YES	-
G0_UNEXPECTED_MIGRATION_PAIR_COUNT	INTEGER	c3-semantic-g0-delta.txt	ac-witness-verify	unexpected G0 migration pair count	YES	-
L07_G0	STRING	c3-semantic-per-fixture.tsv	ac-witness-verify	L07 G0 link_libs value	YES	-
L07_G1	STRING	c3-semantic-per-fixture.tsv	ac-witness-verify	L07 G1 link_libs value	YES	-
L07_G2	STRING	c3-semantic-per-fixture.tsv	ac-witness-verify	L07 G2 link_libs value	YES	-
L07_G3	STRING	c3-semantic-per-fixture.tsv	ac-witness-verify	L07 G3 link_libs value	YES	-
SEMANTIC_OUTPUT_MUTATION_DETECTED	BOOLEAN	c3-n01-output-mutation.txt	ac-witness-verify	N01 semantic-output mutation detected	YES	-
N02_ORCHESTRATION_AUTHORITY	STRING	c3-n02-shell-authority.txt	ac-witness-verify	N02 orchestration authority classification	YES	POLYC|SHELL
N02_SHELL_DISPATCH_ONLY	BOOLEAN	c3-n02-shell-authority.txt	ac-witness-verify	shell wrapper is dispatch-only	YES	-
N02_SHELL_LOC_LE_50	BOOLEAN	c3-n02-shell-authority.txt	ac-witness-verify	N02 shell wrapper LOC	YES	-
MUTATED_COMPONENT_BUILD_RC	INTEGER	c3-n02-production-causal-control.txt	ac-witness-verify	mutated component build return code	YES	-
MUTATED_SEAM_LINK_RC	INTEGER	c3-n02-production-causal-control.txt	ac-witness-verify	mutated seam link return code	YES	-
MUTATED_SEAM_RUN_RC	INTEGER	c3-n02-production-causal-control.txt	ac-witness-verify	mutated seam run return code	YES	-
MUTATED_COMPONENT_SHA_NONEMPTY	BOOLEAN	c3-n02-production-causal-control.txt	ac-witness-verify	mutated component SHA present	YES	-
MUTATED_COMPONENT_SHA_DIFFERS	BOOLEAN	c3-n02-production-causal-control.txt	ac-witness-verify	mutated component SHA differs from pristine	YES	COMPONENT_SHA_DIFFERS
MUTATED_SEAM_SHA_NONEMPTY	BOOLEAN	c3-n02-production-causal-control.txt	ac-witness-verify	mutated seam SHA present	YES	-
MUTATED_PRODUCTION_DIVERGENCE_DETECTED	BOOLEAN	c3-n02-production-causal-control.txt	ac-witness-verify	mutated production divergence detected	YES	-
UNEXPECTED_MUTATION_DIVERGENCE_COUNT	INTEGER	c3-n02-production-causal-control.txt	ac-witness-verify	unexpected mutation divergence count	YES	-
N02_INCOMPLETE_WITNESS_REJECTED	BOOLEAN	c3-n02-incomplete-witness.txt	ac-witness-verify	N02 incomplete-witness control rejected	YES	-
PROVENANCE_ROW_PASS	INTEGER	c3-generation-provenance.tsv	ac-witness-verify	provenance row pass count	YES	-
PROVENANCE_ROW_FAIL	INTEGER	c3-generation-provenance.tsv	ac-witness-verify	provenance row fail count	YES	-
GENERATION_COPY_CONTROL_EXECUTED	BOOLEAN	c3-generation-copy-control.txt	ac-witness-verify	forged generation control executed	YES	-
GENERATION_COPY_DETECTED	BOOLEAN	c3-generation-copy-control.txt	ac-witness-verify	forged generation copy detected	YES	-
GENERATION_COPY_VERIFIER_RC_NONZERO	BOOLEAN	c3-generation-copy-control.txt	ac-witness-verify	provenance verifier rc!=0 on forged generation	YES	-
TOKEN_SCHEMA_DUPLICATES	INTEGER	c3-token-schema-verify.txt	ac-witness-verify	duplicate token schema entry count	YES	-
WITNESS_KEYS_WITHOUT_SCHEMA	INTEGER	c3-token-schema-verify.txt	ac-witness-verify	mandatory witness keys without schema entry	YES	-
TOKEN_SCHEMA_PRODUCER_CONSUMER_DRIFT	INTEGER	c3-token-schema-verify.txt	ac-witness-verify	producer/consumer token drift count	YES	-
WITNESS_FAIL	INTEGER	c3-ac-witness-results.tsv	ac-witness-verify	witness fail count	YES	-
WITNESS_MISSING	INTEGER	c3-ac-witness-results.tsv	ac-witness-verify	witness missing count	YES	-
WITNESS_MISSING_CONTROL_DETECTED	BOOLEAN	c3-witness-missing-control.txt	ac-witness-verify	witness-missing negative control detected	YES	-
WITNESS_VALUE_CONTROL_DETECTED	BOOLEAN	c3-witness-value-control.txt	ac-witness-verify	witness-value negative control detected	YES	-
AC_ID_SHUFFLE_DETECTED	BOOLEAN	c3-ac-id-shuffle.txt	ac-witness-verify	AC id shuffle control detected	YES	-
EVIDENCE_SHA_MUTATION_DETECTED	BOOLEAN	c3-evidence-sha-mutation.txt	ac-witness-verify	evidence SHA mutation control detected	YES	-
PREDICATE_LIE_DETECTED	BOOLEAN	c3-predicate-lie-control.txt	ac-witness-verify	predicate-lie control detected	YES	-
LEXER01_CONSERVATION	BOOLEAN	c3-lexer01-conservation.txt	ac-witness-verify	LEXER01 conservation verdict	YES	-
LEXER02_DIRECT_CONSERVATION	BOOLEAN	c3-lexer02-conservation.txt	ac-witness-verify	LEXER02 direct conservation verdict	YES	-
LEXER03_CONSERVATION	BOOLEAN	c3-lexer03-conservation.txt	ac-witness-verify	LEXER03 conservation verdict	YES	-
LEXER07_NEW_FAILURES	INTEGER	c3-broad-corpus-delta.txt	ac-witness-verify	LEXER07 new failure count delta	YES	-
LEXER08_BROAD_CORPUS	BOOLEAN	c3-broad-corpus-delta.txt	ac-witness-verify	LEXER08 broad corpus pass	YES	PASS
LEXER09_BROAD_CORPUS	BOOLEAN	c3-broad-corpus-delta.txt	ac-witness-verify	LEXER09 broad corpus pass	YES	PASS
NEW_SUBSTANTIVE_NON_POLYC_TOOLS	INTEGER	c3-f-polyc-tools.txt	ac-witness-verify	new substantive non-PolyC tool count	YES	-
NEW_PYTHON_SOURCES	INTEGER	c3-f-no-python.txt	ac-witness-verify	new Python source count	YES	-
NEW_PYTHON_INVOCATIONS	INTEGER	c3-f-no-python.txt	ac-witness-verify	new Python invocation count	YES	-
CLOSED_EVIDENCE_DELTA	INTEGER	c3-f14.txt	ac-witness-verify	closed evidence delta vs C0 entry	YES	-
CLOSED_HANDOFF_DELTA	INTEGER	c3-f14.txt	ac-witness-verify	closed HANDOFF delta vs C0 entry	YES	-
C2_TO_C3_FROZEN	BOOLEAN	c3-c2-freeze-replay.tsv	ac-witness-verify	C2 to C3 freeze preserved	YES	-
C3_PHASE_PURITY	BOOLEAN	c3-phase-purity.txt	ac-witness-verify	C3 evidence-only purity preserved	YES	-
GATE_FAST	BOOLEAN	c3-factory-gates.txt	ac-witness-verify	gate-fast verdict	YES	PASS
APPEND_ONLY_FAIL	INTEGER	c3-append-only.txt	ac-witness-verify	append-only guard fail count	YES	-
PATCH_HYGIENE_ERRORS	INTEGER	c3-patch-hygiene.txt	ac-witness-verify	prospective patch hygiene error count	YES	-
