ac_id	witness_id	evidence_path	witness_kind	key	operator	expected_value	mandatory
AC22	w41	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-provenance.tsv	KV	PROVENANCE_ROW_PASS	EQ	4	YES
AC22	w42	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-provenance.tsv	KV	PROVENANCE_ROW_FAIL	EQ	0	YES
AC23	w43	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-copy-control.txt	KV	GENERATION_COPY_CONTROL_EXECUTED	EQ	YES	YES
AC23	w44	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-copy-control.txt	KV	GENERATION_COPY_DETECTED	EQ	YES	YES
AC23	w45	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-copy-control.txt	KV	GENERATION_COPY_VERIFIER_RC_NONZERO	EQ	YES	YES
AC24	w46	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-token-schema-verify.txt	KV	TOKEN_SCHEMA_DUPLICATES	EQ	0	YES
AC24	w47	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-token-schema-verify.txt	KV	WITNESS_KEYS_WITHOUT_SCHEMA	EQ	0	YES
AC24	w48	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-token-schema-verify.txt	KV	TOKEN_SCHEMA_PRODUCER_CONSUMER_DRIFT	EQ	0	YES
AC25	w49	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-witness-results.tsv	KV	WITNESS_FAIL	EQ	0	YES
AC25	w50	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-witness-results.tsv	KV	WITNESS_MISSING	EQ	0	YES
AC26	w51	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-witness-missing-control.txt	KV	WITNESS_MISSING_CONTROL_DETECTED	EQ	YES	YES
AC27	w52	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-witness-value-control.txt	KV	WITNESS_VALUE_CONTROL_DETECTED	EQ	YES	YES
AC28	w53	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-id-shuffle.txt	KV	AC_ID_SHUFFLE_DETECTED	EQ	YES	YES
AC29	w54	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-evidence-sha-mutation.txt	KV	EVIDENCE_SHA_MUTATION_DETECTED	EQ	YES	YES
AC30	w55	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-predicate-lie-control.txt	KV	PREDICATE_LIE_DETECTED	EQ	YES	YES
AC31	w56	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-lexer01-conservation.txt	KV	LEXER01_CONSERVATION	EQ	PASS	YES
AC32	w57	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-lexer02-conservation.txt	KV	LEXER02_DIRECT_CONSERVATION	EQ	PASS	YES
AC33	w58	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-lexer03-conservation.txt	KV	LEXER03_CONSERVATION	EQ	PASS	YES
AC34	w59	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	KV	LEXER07_NEW_FAILURES	EQ	0	YES
AC34	w60	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	KV	LEXER08_BROAD_CORPUS	EQ	PASS	YES
AC34	w61	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	KV	LEXER09_BROAD_CORPUS	EQ	PASS	YES
AC35	w62	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f-polyc-tools.txt	KV	NEW_SUBSTANTIVE_NON_POLYC_TOOLS	EQ	0	YES
AC36	w63	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f-no-python.txt	KV	NEW_PYTHON_SOURCES	EQ	0	YES
AC36	w64	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f-no-python.txt	KV	NEW_PYTHON_INVOCATIONS	EQ	0	YES
AC37	w65	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f14.txt	KV	CLOSED_EVIDENCE_DELTA	EQ	0	YES
AC37	w66	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f14.txt	KV	CLOSED_HANDOFF_DELTA	EQ	0	YES
AC38	w67	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-c2-freeze-replay.tsv	KV	C2_TO_C3_FROZEN	EQ	YES	YES
AC39	w68	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-phase-purity.txt	KV	C3_PHASE_PURITY	EQ	PASS	YES
AC40	w69	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-factory-gates.txt	KV	GATE_FAST	EQ	PASS	YES
AC40	w70	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-append-only.txt	KV	APPEND_ONLY_FAIL	EQ	0	YES
AC41	w71	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-patch-hygiene.txt	KV	PATCH_HYGIENE_ERRORS	EQ	0	YES
AC42	w72	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-required-result.txt	KV	CORRECTION05_COMMIT_COUNT	EQ	3	YES
AC42	w73	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-required-result.txt	KV	C0_C1_C2_C3_C4_ORDER	EQ	YES	YES
AC43	w74	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c4/c4-parent-identity.txt	KV	WORKTREE_CLEAN_AFTER_C4	EQ	YES	YES
AC44	w75	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c4/c4-terminal-ledger.txt	KV	POST_C4_COMMIT_COUNT	EQ	0	YES
