path	baseline_loc	budget_loc	state	role	migration_priority	notes
scripts/quality/llvm-intops01-test.sh	230	230	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
scripts/quality/factory-v2-commit-msg-check.sh	218	218	GRANDFATHERED	FACTORY	MEDIUM	scripts/quality track; migration candidate
scripts/quality/llvm-memory01-red-test.sh	194	194	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
scripts/quality/factory-halt-classification-check.sh	187	187	GRANDFATHERED	FACTORY	MEDIUM	scripts/quality track; migration candidate
scripts/quality/factory-halt-classification-test.sh	182	182	GRANDFATHERED	FACTORY	HIGH	scripts/quality track; migration candidate
scripts/quality/ir-return-slot-forwarding01-test.sh	171	171	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
scripts/quality/llvm-memory01-nc5-probe.sh	155	155	GRANDFATHERED	TEST	MEDIUM	scripts/quality track; migration candidate
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.1/capture.sh	137	137	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
packaging/install.sh	130	130	GRANDFATHERED	INSTALL	MEDIUM	installer; migration candidate
scripts/quality/harness-evidence-isolation-test.sh	123	123	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
evidence/llvmspike01-resume01-correction01-resume01-correction02/identity.sh	120	120	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.3/validate.sh	96	96	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01/capi/run_capi_probes.sh	95	95	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/factory-status-reconciliation-correction03/closure-run.sh	91	91	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
src/asm/test_jit_ir.sh	90	90	GRANDFATHERED	TEST	SKIP	compiler-dev convenience; not a Track-B target
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.2/validate.sh	77	77	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c3/capture-neutral-ir.sh	69	69	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/factory-status-reconciliation-correction02/closure-run.sh	64	64	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
scripts/install-git-hooks.sh	47	47	TINY	INSTALL	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
scripts/quality/shell-budget-gate-test.sh	42	42	TINY	TEST	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c3/derive-case-b-opcode-set.sh	40	40	TINY	EVIDENCE	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
scripts/quality/shell-budget-gate.sh	38	38	TINY	GATE	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
scripts/quality/shell-loc-gate.sh	26	26	TINY	GATE	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
scripts/quality/llvm-closure-status-check.sh	21	21	TINY	OTHER	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
scripts/quality/inventory.sh	19	19	TINY	TOOL	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
evidence/smoke/run_repl.sh	11	11	TINY	TOOL	SKIP	tiny wrapper at <=50 LOC; ratchet-locked
scripts/quality/formal-dafny.sh	48	50	TINY	GATE	LOW	opt-in Dafny 4.11.0 formal gate; ACT-POLYC2-DAFNY-PROOF-MVP01; POSIX /bin/sh (verified under dash)
