surface_id	subsystem	source_path	symbol_or_region	responsibility	implementation_language	runtime_reachable	compiler_semantics	g0_reachable	g1_reachable	g2_reachable	g3_reachable	polyc_authority	legacy_authority	fallback_present	current_owner	test_surface	fixedpoint_status	classification	evidence
INV.IR.LOWER	ir	src/ir.c	irLowerAst+irLowerReturn+irLowerTry+irLowerThrow+irLowerIf+irLowerForLoop+irLowerWhileLoop+irLowerDoWhileLoop+irLowerDecl+irLowerGoto+irLowerLabel+irLowerSwitch	Lower AST to intermediate representation (per-construct lowering)	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/ir.c lowerAst pipeline (~3408 LOC)	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.IR.LOWER
INV.IR.CGFUN	ir-codegen	src/ir.c	irFunctionPrepForCodeGen+irCgFinishFunction+irAssignAbiParamLocations+irDump+irDumpWithFakePool	IR finalisation and ABI param location assignment	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/ir.c CG-side functions	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.IR.CGFUN
INV.CODEGEN.X86	x86_64-codegen	src/x86_64.c	x86_64GenerateFunction+x86_64PasteDataSection+x86_64InitialiseEmptyGlobal+x86_64GlobalVar	Native x86_64 backend (small native reference backend)	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/x86_64.c (the reference backend)	NO (build-time only)	LEGACY_C	small-native-backend corpus differential	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.CODEGEN.X86
INV.CODEGEN.AARCH64	aarch64-codegen	src/aarch64.c	aarch64Generate*	Native aarch64 backend (small native reference backend)	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/aarch64.c	NO (build-time only)	LEGACY_C	small-native-backend corpus differential	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.CODEGEN.AARCH64
INV.LLVM.BACKEND	llvm-backend	src/llvm-backend.c+src/llvm-backend-cap.c	llEmitFunction+llPrintCapabilityTable+kLLVMBackendCapability[]	LLVM experimental backend	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/llvm-backend.c (experimental, opt-in via -DHCC_ENABLE_LLVM)	NO (build-time only)	LEGACY_C	llvm-spike tests	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.LLVM.BACKEND
INV.LSP	server	src/lsp.c	lspRun+lspScanMapForSuggestion+lspOccurrenceRelease	LSP language server (semantic completion, occurrence tracking)	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/lsp.c	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.LSP
INV.TRANSPILE	transpiler	src/transpiler.c	transpileAstInternal+transpileInitMaps+transpileBinaryOp+transpileUnary+~10 transpile* helpers	Transpile AST to C source (PolyC -> C transpiler)	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/transpiler.c	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.TRANSPILE
INV.MAIN.DRIVER	driver	src/main.c+src/cli.c	main+cliArgsInit+cliParseArgs+hccLibInit+writeAsmToTmp+emitFile+assemble+safeSystem	Compiler entry point, CLI parsing, library handling, file emission, system() calls, assembly invocation	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/main.c + src/cli.c	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.MAIN.DRIVER
INV.JIT.X86	x86_64-jit	src/x86_64-jit.c+src/jit-common.c+src/aarch64-jit.c	x86_64_jit_run+aarch64_jit_run	JIT runner for x86_64 and aarch64 (REPL only)	LEGACY_C	YES (REPL only)	NO	YES (REPL only)	YES	YES	YES	NONE	src/x86_64-jit.c + src/aarch64-jit.c + src/jit-common.c	NO (build-time only)	LEGACY_C	REPL smoke	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.JIT.X86
INV.PREPROC.PP	preprocessor	src/lexer.c	lexPreProcIf+lexPreProcBoolean+lexInclude+lexUndef+lexSetAsmFlags+lexUnSetAsmFlags	Preprocessor directive parser (#if, #ifdef, #include, #undef, #asm)	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/lexer.c	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.PREPROC.PP
INV.MEM.ARENA	memory	src/arena.c+src/mempool.c+src/memory.c+src/memsafe.c	ArenaAllocate+MemoryInit/Release+ArenaRelease+MempoolAllocate	Memory arenas, pools, lifetime tracking, leak/safety diagnostics	LEGACY_C	YES	NO (plumbing)	YES	YES	YES	YES	NONE	src/arena.c + src/mempool.c + src/memory.c + src/memsafe.c	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.MEM.ARENA
INV.DIAG.PRINT	diagnostics	src/cctrl.c	cctrlInfo+cctrlWarning+cctrlWarningAt+cctrlRaiseException+cctrlRaiseSuggestion+cctrlIce+cctrlDiagPush/Flush/Clear	Diagnostic emission and severity tracking (overlaps INV.CCTRL.SCOPE)	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/cctrl.c	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.DIAG.PRINT
INV.UTIL.MISC	utility	src/util.h	macros + small inline helpers	Misc utility (mostly inline/macro)	LEGACY_C	YES	NO	YES	YES	YES	YES	NONE	src/util.h	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.UTIL.MISC
INV.LIBTOS	library	src/holyc-lib/* + src/holyc-lib/libtos.*	HolyC runtime library (aostr, list, math, io, hashtable, etc.)	HolyC runtime library (aostr, list, math, io, hashtable, etc.)	POLYC + C (mixed)	YES	NO (runtime, not compiler)	YES	YES	YES	YES	N/A (runtime, not compiler surface)	N/A	NO (runtime, not compiler)	LEGACY_NON_POLYC_AUTHORITY	N/A	NOT_APPLICABLE	LEGACY_NON_POLYC_AUTHORITY	c1-non-polyc-authority.tsv: LIBTOS_* rows
INV.BUILD.ORCH	build-orch	Makefile+src/CMakeLists.txt+scripts/quality/*	make targets	Build orchestration	SHELL+MAKE	YES	NO	YES	YES	YES	YES	N/A	N/A	N/A	BUILD_ORCHESTRATION	N/A	NOT_APPLICABLE	BUILD_ORCHESTRATION	c1-non-polyc-authority.tsv: BUILD_ORCH rows
INV.QA.ORCH	quality-tooling	scripts/quality/*+tools/quality/*.HC+tools/quality/*.c	verification harnesses	Quality tooling and bootstrap oracles	C + SHELL + POLYC	YES	NO (tooling, not compiler)	YES	YES	YES	YES	N/A	N/A	N/A	QUALITY_TOOLING	N/A	NOT_APPLICABLE	QUALITY_TOOLING	c1-non-polyc-authority.tsv: QA_ORCH rows
