surface_id	source_path	symbol	responsibility	implementation_language	runtime_reachable	stage0_reachable	stage1_reachable	stage2_reachable	stage3_reachable	current_authority	classification	evidence
SURF-15	src/lexer.c	lexCore (operator cases)	inline dispatch for the operator character range	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	lexClassifyOperator (delegated)	POLYC_SELFHOSTED_WITH_LEGACY_FALLBACK	legacy C switch retained for stage0 only; no behavior delta
SURF-16	src/lexer.c	lexPreProcDirective	# directive name lookup (after '#' consume)	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	23 LOC; uses symbol_table Map*; one-shot lexer call
SURF-17	src/lexer.c	lexInclude	#include file open	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	48 LOC; orchestrates lex() calls; AoStr assembly
SURF-18	src/lexer.c	lexLink	#link library path / name	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	47 LOC; orchestrates lex() calls; List/Map mutations
SURF-19	src/lexer.c	lexDefine	#define / macro body capture	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	116 LOC; heavily stateful (Map* macro_defs mutation); preprocessor
SURF-20	src/lexer.c	lexUndef	#undef / map delete	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	15 LOC; Map* removal
SURF-21	src/lexer.c	lexPreProcIf	#if / #ifdef / #ifndef / #endif / #else dispatcher	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	136 LOC; recursion over Map* macro_defs; touches line accounting
SURF-22	src/lexer.c	lexPreProcBoolean	#if expression evaluation	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	108 LOC; heavy recursion; uses lexToken; not a single bounded surface
SURF-23	src/lexer.c	lexToken	macro-expansion aware token pull	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	105 LOC; preprocessor orchestration
SURF-24	src/lexer.c	lex	dispatcher entry: lexCore -> lexeme postprocess	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	wrapper around lexCore; assigns tok_start_line/col
SURF-25	src/lexer.c	lexInit / lexRelease / lexPushFile / lexPushString	lexer lifetime / file push	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	lifecycle management
SURF-26	src/lexer.c	lexemeNew / lexemeTokNew / lexemeCopy / lexemeAssignOp	lexeme allocation/construction	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	allocator wrappers using lexeme_arena
SURF-27	src/lexer.c	lexemeMemoryInit/Release/Stats	lexeme arena lifecycle	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	arena init/free
SURF-28	src/lexer.c	lexerAllocateBuffer / lexerReAllocBuffer	Arena-backed byte buffer alloc/realloc	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	arena wrapper for lexString buffer
SURF-29	src/lexer.c	lexemeTypeToString / lexemePunctToString / lexemeToString / lexemeToAoStr / lexemePrint / lexemePunctToEncodedString / lexemePunctToStringWithFlags / lexerReportLine	diagnostic / pretty-print helpers	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	used by parser.c, cctrl.c, repl.c; no token-kind production
SURF-30	src/lexer.c	tokenPunctIs / tokenIdentIs / lexemeEq / lexemeFree / lexReleaseLexFile / lexReleaseAllFiles / lexReadfile / lexSetBuiltinRoot / lexSetAsmFlags / lexUnSetAsmFlags	token compare / lexeme free / file release	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	misc helpers
SURF-31	src/lexer.c	vecLexemeToString / vecLexemeRelease / lexemeVecNew	Vec<Lexeme> glue	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	Vec helpers; not token production
SURF-32	src/lexer.c	mapLexerTypeToString	Map<LexerType> printer	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	diagnostic only
